TWEETID,TWEET,TIMESTAMP,AUTHOR,LAT,LONG,URL,IMGURL
339076000000000000,Caleb has a lemonade stand for #tornadovictims at #swatekpark #okc - hurry to get yours! @ caleb's_ö_ http://t.co/Qb3HO4Pnjm,5/27/2013 17:49,sscriv,35.49,-97.46,http://instagram.com/p/Z0vg9CxCRk/
339075000000000000,Was introduced to some of the best food on I have ever eaten yesterday!  At the Shack in OKC! http://t.co/LK3i2VMDeZ,5/27/2013 17:47,Skullywire,35.4,-97.6,http://instagram.com/p/Z0vWRehdvO/
339077000000000000,#Regram from a rooftop session a few months ago. Can't wait to get back to #OKC to do big things in_ö_ http://t.co/WOMvloWuM8,5/27/2013 17:53,fogi_bear,35.4,-97.6,http://instagram.com/p/Z0vy53GCVq/
339077000000000000,My lil lovies. #heart #soul #babies #love #life #okc #shades #toocool #brotherandsister #happy http://t.co/gSBhXNFx9X,5/27/2013 17:53,lilshelbyshel,35.49,-97.46,http://instagram.com/p/Z0wHOtNe3A/
339080000000000000,Working in the @rfbo Volunteer Center today. #hairnets #beardnet #beard @ Regional Food Bank of Oklahoma http://t.co/BlFZU2OBKv,5/27/2013 18:06,OrionSurgeon,35.43,-97.61,http://instagram.com/p/Z0xd-DNtqS/
339079000000000000,LOVE OKC lobby table construction goin' down. This photo was not staged at all. stephen_kramer_ö_ http://t.co/kY7Y7S4GDz,5/27/2013 18:01,lauren_sheppard,35.49,-97.46,http://instagram.com/p/Z0xEhSGYwH/
339081000000000000,#oklahoma #oklahomaproud #oklahomastrong http://t.co/xFE2n1Wdvi,5/27/2013 18:09,Trixies405,35.49,-97.46,http://instagram.com/p/Z0yBakyMMN/
339230000000000000,Drinking #OKC beer for a good cause. @ James E. McNellie's Public House http://t.co/voIscc0wwO,5/28/2013 4:03,AugustaGolfGirl,35.48,-97.52,http://instagram.com/p/Z11_0FAPXh/
339232000000000000,The Seed Sower statue #ou #oklahoma #university #normanok #norman #skyporn #sky #sunset #tree #statue_ö_ http://t.co/jWHIWu8X7C,5/28/2013 4:09,Bosloh93,35.2,-97.45,http://instagram.com/p/Z12kYPzXsi/
339235000000000000,Oklahoma beers on deck: Anthem Golden One, Black Mesa ESB, Rough Tail 12th Round, Mustang Seasonal,_ö_ http://t.co/ce1GGVQmxG,5/28/2013 4:22,AugustaGolfGirl,35.48,-97.52,http://instagram.com/p/Z139x9gPZZ/
339245000000000000,Wow. Came home to this sitting at my door. What a blessing while stores are closed. #moore #oklahoma_ö_ http://t.co/XVwXHCceKB,5/28/2013 5:01,andyhinkle91,35.33,-97.48,http://instagram.com/p/Z18dABjzaD/
339171000000000000,Beautiful way to start Oklahoma Annual Conference with the Africa University Choir! #ac2013 #okumc http://t.co/Kx6J7yKDmi,5/28/2013 0:09,anelms,35.49,-97.46,http://instagram.com/p/Z1abPDpBNK/
339114000000000000,I've grown to love this place so much ever since I moved to Oklahoma to attend OU four years ago.. and_ö_ http://t.co/K2hxdbG5aU,5/27/2013 20:20,Kelley_Jones,35.36,-97.51,http://instagram.com/p/Z1AeGapmsN/
339172000000000000,#Oklahoma #Oklahoma #edmond #edmondok #ronperry #localazguy #mysanctury #belltower #oldglory_ö_ http://t.co/CN2cWmh6P7,5/28/2013 0:09,RonPerryJr,35.61,-97.5,http://instagram.com/p/Z1bARvOT7E/
