taskid,tweetid,text,date,username,category,taskCompletionTime,imageURL
420421,399748450209644545,RT @itscamilleco: Yabu's dine for a cause for #YolandaPH http://t.co/yXr6DwoyBm,2013-11-11 04:00:32,ligayaaaa,none ,2013-11-12T18:18:03.572023,https://pbs.twimg.com/media/BYwtPoDCAAA0q7y.png
420421,399748450209644545,RT @itscamilleco: Yabu's dine for a cause for #YolandaPH http://t.co/yXr6DwoyBm,2013-11-11 04:00:32,ligayaaaa,none ,2013-11-12T18:18:03.572023,https://pbs.twimg.com/media/BYwtPoDCAAA0q7y.png
420421,399748450209644545,RT @itscamilleco: Yabu's dine for a cause for #YolandaPH http://t.co/yXr6DwoyBm,2013-11-11 04:00:32,ligayaaaa,none ,2013-11-12T18:18:03.572023,https://pbs.twimg.com/media/BYwtPoDCAAA0q7y.png
420422,399748450847162370,RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM,2013-11-11 04:00:32,GinoLopez69,severe ,2013-11-12T18:18:04.723528,https://pbs.twimg.com/media/BYvXFWFCMAEx6D7.jpg
420422,399748450847162370,RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM,2013-11-11 04:00:32,GinoLopez69,severe ,2013-11-12T18:18:04.723528,https://pbs.twimg.com/media/BYvXFWFCMAEx6D7.jpg
420422,399748450847162370,RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM,2013-11-11 04:00:32,GinoLopez69,severe ,2013-11-12T18:18:04.723528,https://pbs.twimg.com/media/BYvXFWFCMAEx6D7.jpg
420422,399748450847162370,RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM,2013-11-11 04:00:32,GinoLopez69,mild ,2013-11-12T18:18:04.723528,https://pbs.twimg.com/media/BYvXFWFCMAEx6D7.jpg
420422,399748450847162370,RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM,2013-11-11 04:00:32,GinoLopez69,mild ,2013-11-12T18:18:04.723528,https://pbs.twimg.com/media/BYvXFWFCMAEx6D7.jpg
420422,399748450847162370,RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM,2013-11-11 04:00:32,GinoLopez69,mild ,2013-11-12T18:18:04.723528,https://pbs.twimg.com/media/BYvXFWFCMAEx6D7.jpg
420422,399748450847162370,RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM,2013-11-11 04:00:32,GinoLopez69,severe ,2013-11-12T18:18:04.723528,https://pbs.twimg.com/media/BYvXFWFCMAEx6D7.jpg
